"","ref","target","t","match","gold","syn_def","definition","syn_words","syn","pos","id","freq.x","freq.y","synset","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"2231","pine","yen","1936","True","1","have a desire for something or someone who is not present","Be inclined/Long/yearn","['ache', 'yearn', 'yen', 'pine', 'languish']","Synset('ache.v.02')","vi","02.05.03.03.02","43993","102742","ache.v.02","3","3","1","1","0","0","0.482072038299678","-0.321428571428571"
"2232","piquant","zesty","1934","True","1","having an agreeably pungent taste","Taste/Savoury","['piquant', 'savory', 'savoury', 'spicy', 'zesty']","Synset('piquant.s.01')","adj","01.09.06.02","0","550.5","piquant.s.01","1","1","2","3",NA,NA,NA,NA
"2233","piss","wee-wee","1930","True","1","eliminate urine","The body/Urinate","['make', 'urinate', 'piddle', 'puddle', 'micturate', 'piss', 'pee', 'pee-pee', 'make_water', 'relieve_oneself', 'take_a_leak', 'spend_a_penny', 'wee', 'wee-wee', 'pass_water']","Synset('make.v.49')","vi","01.02.03.20.05.02",NA,"5687","make.v.49","1","3","1","1",NA,NA,NA,NA
"2234","piss","wee","1934","True","1","eliminate urine","The body/Urinate","['make', 'urinate', 'piddle', 'puddle', 'micturate', 'piss', 'pee', 'pee-pee', 'make_water', 'relieve_oneself', 'take_a_leak', 'spend_a_penny', 'wee', 'wee-wee', 'pass_water']","Synset('make.v.49')","vi","01.02.03.20.05.02","16733.5","5687","make.v.49","2","3","1","1",NA,NA,NA,NA
"2235","pissed","peeved","1908","True","1","aroused to impatience or anger","Suffering mental pain/Annoyed/vexed","['annoyed', 'irritated', 'miffed', 'nettled', 'peeved', 'pissed', 'pissed_off', 'riled', 'roiled', 'steamed', 'stung']","Synset('annoyed.s.01')","adj","02.04.11.10","136","6830.5","annoyed.s.01","2","2","1","1",NA,NA,NA,NA
"2236","pissed_off","peeved","1908","True","1","aroused to impatience or anger","Suffering mental pain/Annoyed/vexed","['annoyed', 'irritated', 'miffed', 'nettled', 'peeved', 'pissed', 'pissed_off', 'riled', 'roiled', 'steamed', 'stung']","Synset('annoyed.s.01')","adj","02.04.11.10","136",NA,"annoyed.s.01","2","1","1","1",NA,NA,NA,NA
"2237","pitchy","resiny","1892","True","-1","having the characteristics of pitch or tar","Pertaining to material worked with/upon/Of resin/resinous","['pitchy', 'resinous', 'resiny', 'tarry']","Synset('pitchy.s.02')","adj","03.11.12.02.11.01","22.5","341.5","pitchy.s.02","1","2","1","2",NA,NA,NA,NA
"2238","piteous","pathetic","1936","True","1","deserving or inciting pity","Inferior/Wretched","['hapless', 'miserable', 'misfortunate', 'pathetic', 'piteous', 'pitiable', 'pitiful', 'poor', 'wretched']","Synset('hapless.s.01')","adj","02.03.03.08","12037","2351","hapless.s.01","1","1","3","1","0","0","0.337368311085824","-0.428571428571428"
"2239","pitiable","pathetic","1936","True","1","deserving or inciting pity","Inferior/Wretched","['hapless', 'miserable', 'misfortunate', 'pathetic', 'piteous', 'pitiable', 'pitiful', 'poor', 'wretched']","Synset('hapless.s.01')","adj","02.03.03.08","12037","2883","hapless.s.01","1","2","3","2","0","1","0.00680718740893541","-0.892857142857143"
"2240","pitiful","pathetic","1936","True","1","deserving or inciting pity","Inferior/Wretched","['hapless', 'miserable', 'misfortunate', 'pathetic', 'piteous', 'pitiable', 'pitiful', 'poor', 'wretched']","Synset('hapless.s.01')","adj","02.03.03.08","12037","7983","hapless.s.01","1","3","3","3","0","1","0.0136973266153257","-0.857142857142857"
"2241","placating","placative","1930","True","1","intended to pacify by acceding to demands or granting concessions","At variance/Making/promoting concord/peace/appeasing/propitiatory","['appeasing', 'placating', 'placative', 'placatory']","Synset('appeasing.s.01')","adj","03.01.07.06.01|02",NA,"613.5","appeasing.s.01","1","2","1","1",NA,NA,NA,NA
"2242","placating","placative","1930","True","-1","intended to pacify by acceding to demands or granting concessions","At variance/Making/promoting concord/peace/appeasing/propitiatory","['appeasing', 'placating', 'placative', 'placatory']","Synset('appeasing.s.01')","adj","03.01.07.06.01|02",NA,"613.5","appeasing.s.01","1","2","1","1",NA,NA,NA,NA
"2243","placative","placating","1910","True","1","intended to pacify by acceding to demands or granting concessions","At variance/Making/promoting concord/peace/appeasing/propitiatory","['appeasing', 'placating', 'placative', 'placatory']","Synset('appeasing.s.01')","adj","03.01.07.06.01|02","613.5",NA,"appeasing.s.01","2","1","1","1",NA,NA,NA,NA
"2244","placatory","placative","1930","True","-1","intended to pacify by acceding to demands or granting concessions","At variance/Making/promoting concord/peace/appeasing/propitiatory","['appeasing', 'placating', 'placative', 'placatory']","Synset('appeasing.s.01')","adj","03.01.07.06.01|02",NA,"22.5","appeasing.s.01","1","1","1","1",NA,NA,NA,NA
"2245","placatory","placating","1910","True","1","intended to pacify by acceding to demands or granting concessions","At variance/Making/promoting concord/peace/appeasing/propitiatory","['appeasing', 'placating', 'placative', 'placatory']","Synset('appeasing.s.01')","adj","03.01.07.06.01|02","613.5","22.5","appeasing.s.01","2","1","1","1",NA,NA,NA,NA
"2246","placatory","placative","1930","True","1","intended to pacify by acceding to demands or granting concessions","At variance/Making/promoting concord/peace/appeasing/propitiatory","['appeasing', 'placating', 'placative', 'placatory']","Synset('appeasing.s.01')","adj","03.01.07.06.01|02",NA,"22.5","appeasing.s.01","1","1","1","1",NA,NA,NA,NA
"2247","place","set","1882","True","-1","locate","Place/Insert/put in/at intervals in a surface","['set', 'localize', 'localise', 'place']","Synset('set.v.09')","vt","01.12.04.05.01|24","5946738","8527113.5","set.v.09","22","26","15","16","0","0","0.26523878689279","0.34965034965035"
"2248","place","set","1882","True","-1","put into a certain place or abstract location","Place/Insert/put in/at intervals in a surface","['put', 'set', 'place', 'pose', 'position', 'lay']","Synset('put.v.01')","vt","01.12.04.05.01|24","5946738","8527113.5","put.v.01","14","17","15","16","0","0","0.26523878689279","0.34965034965035"
"2249","place","target","1892","True","-1","intend something to move towards a certain goal","Rail travel/direct/manage a railway engine/specific operations","['target', 'aim', 'place', 'direct', 'point']","Synset('target.v.01')","vt","03.10.04|09.01","379026.5","8527113.5","target.v.01","6","23","3","16","0","0","0.573913168285521","0.190909090909091"
"2250","place","rate","1884","True","-1","assign a rank or rating to","Navigate/sail (a stretch of water)/Vessel/ship/boat/place/remove vessel in/from class","['rate', 'rank', 'range', 'order', 'grade', 'place']","Synset('rate.v.01')","vt","03.10.05.13|02","5003387.5","8527113.5","rate.v.01","5","19","3","16","0","0","0.91409334241076","0.034965034965035"
"2251","place","locate","1864","True","-1","assign a location to","Place/assign/attribute to particular place","['locate', 'place', 'site']","Synset('locate.v.03')","vt","01.12.04|04","148841.5","8527113.5","locate.v.03","3","20","4","16","0","0","0.828626422928612","0.0637362637362637"
"2252","place","position","1880","True","-1","put into a certain place or abstract location","Place/Position/situation/ascertain/determine the position of","['put', 'set', 'place', 'pose', 'position', 'lay']","Synset('put.v.01')","vt","01.12.04.01|02","3823037.5","8527113.5","put.v.01","18","17","9","16","1","0","0.0625114832796152","-0.552447552447553"
"2253","place","set","1882","True","-1","estimate","Place/Insert/put in/at intervals in a surface","['place', 'put', 'set']","Synset('place.v.11')","vt","01.12.04.05.01|24","5946738","8527113.5","place.v.11","33","27","15","16","0","0","0.26523878689279","0.34965034965035"
"2254","plagiarise","lift","1950","True","-1","take without referencing from someone elses writing or speech of intellectual property","Take/Plagiarize","['plagiarize', 'plagiarise', 'lift']","Synset('plagiarize.v.01')","vi","02.06.13.05.09","171621",NA,"plagiarize.v.01","26","1","18","1",NA,NA,NA,NA
"2255","plagiarise","lift","1950","True","1","take without referencing from someone elses writing or speech of intellectual property","Take/Plagiarize","['plagiarize', 'plagiarise', 'lift']","Synset('plagiarize.v.01')","vi","02.06.13.05.09","171621",NA,"plagiarize.v.01","26","1","18","1",NA,NA,NA,NA
"2256","plagiarize","lift","1950","True","-1","take without referencing from someone elses writing or speech of intellectual property","Take/Plagiarize","['plagiarize', 'plagiarise', 'lift']","Synset('plagiarize.v.01')","vi","02.06.13.05.09","171621","18.5","plagiarize.v.01","26","1","18","1",NA,NA,NA,NA
"2257","plagiarize","lift","1950","True","1","take without referencing from someone elses writing or speech of intellectual property","Take/Plagiarize","['plagiarize', 'plagiarise', 'lift']","Synset('plagiarize.v.01')","vi","02.06.13.05.09","171621","18.5","plagiarize.v.01","26","1","18","1",NA,NA,NA,NA
"2258","plan","contrive","1856","True","-1","make or work out a plan for devise","Intend/Plan/devise/invent/design","['plan', 'project', 'contrive', 'design']","Synset('plan.v.03')","vt","02.05.04.01|13","4829.5","2065211.5","plan.v.03","1","6","3","3","1","1","0.000569709627773492","-0.782142857142857"
"2259","plash","splosh","1930","True","1","dash a liquid upon or against","Liquid/Splash","['spatter', 'splatter', 'plash', 'splash', 'splosh', 'swash']","Synset('spatter.v.01')","vi","01.10.05.08.04",NA,"568","spatter.v.01","4","3","4","1",NA,NA,NA,NA
"2260","plash","splosh","1930","True","-1","dash a liquid upon or against","Liquid/Splash/bespatter/said of the liquid","['spatter', 'splatter', 'plash', 'splash', 'splosh', 'swash']","Synset('spatter.v.01')","vt","01.10.05.08.04|01.04",NA,"568","spatter.v.01","4","3","4","1",NA,NA,NA,NA
"2261","plash","splosh","1930","True","1","dash a liquid upon or against","Move along/Move in/on water/splash/move about in (shallow) water","['spatter', 'splatter', 'plash', 'splash', 'splosh', 'swash']","Synset('spatter.v.01')","vi","01.14.03.04.01|02",NA,"568","spatter.v.01","4","3","4","1",NA,NA,NA,NA
"2262","plash","splatter","1930","True","1","dash a liquid upon or against","Liquid/Splash/continuously or noisily/of objects","['spatter', 'splatter', 'plash', 'splash', 'splosh', 'swash']","Synset('spatter.v.01')","vi","01.10.05.08.04|04.01","251.5","568","spatter.v.01","4","3","2","1",NA,NA,NA,NA
"2263","plash","splosh","1904","True","1","dash a liquid upon or against","Liquid/Splash","['spatter', 'splatter', 'plash', 'splash', 'splosh', 'swash']","Synset('spatter.v.01')","vt","01.10.05.08.04",NA,"568","spatter.v.01","4","3","4","1",NA,NA,NA,NA
"2264","plash","splosh","1930","True","1","dash a liquid upon or against","Liquid/Splash/bespatter/said of the liquid","['spatter', 'splatter', 'plash', 'splash', 'splosh', 'swash']","Synset('spatter.v.01')","vt","01.10.05.08.04|01.04",NA,"568","spatter.v.01","4","3","4","1",NA,NA,NA,NA
"2265","play","meet","1854","True","-1","contend against an opponent in a sport game or battle","Befall/encounter/experience","['meet', 'encounter', 'play', 'take_on']","Synset('meet.v.10')","vt","01.11.04|01","1885340.5","2788291.5","meet.v.10","11","51","5","26","1","0","0.499263033238545","-0.189285714285714"
"2266","play","dally","1882","True","-1","behave carelessly or indifferently","Love/Flirt/philander/dally","['dally', 'toy', 'play', 'flirt']","Synset('dally.v.01')","vi","02.04.13.14","1037.5","2788291.5","dally.v.01","1","40","4","26","1","0","0.396501457725947","-0.428571428571429"
"2267","plow","cover","1874","True","-1","act on verbally or in some form of artistic expression","Treat/process textile fabric/print","['cover', 'treat', 'handle', 'plow', 'deal', 'address']","Synset('cover.v.05')","vt","01.08.01.15.03.01.01|08","974014.5","12600.5","cover.v.05","15","3","18","2","0","0","0.437083543831181","0.236263736263736"
"2268","pluck","rob","1934","True","1","rip off ask an unreasonable price","Charges/overcharge","['overcharge', 'soak', 'surcharge', 'gazump', 'fleece', 'plume', 'pluck', 'rob', 'hook']","Synset('overcharge.v.01')","vt","03.12.17|06","32637","13276.5","overcharge.v.01","2","5","2","4","0","0","0.0937502539598315","-0.678571428571428"
"2269","plume","rob","1934","True","1","rip off ask an unreasonable price","Charges/overcharge","['overcharge', 'soak', 'surcharge', 'gazump', 'fleece', 'plume', 'pluck', 'rob', 'hook']","Synset('overcharge.v.01')","vt","03.12.17|06","32637","14651.5","overcharge.v.01","2","4","2","4","0","0","0.644511581020721","-0.214285714285714"
"2270","plunder","ransack","1866","True","-1","steal goods take as spoils","Take/Sack/raid/loot/carry off as loot/plunder","['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']","Synset('plunder.v.03')","vt","02.06.13.05.05.03|03","426","12733.5","plunder.v.03","1","4","2","2",NA,NA,NA,NA
"2271","plunder","spoil","1870","True","-1","destroy and strip of its possession","Take/Despoil/prey upon","['rape', 'spoil', 'despoil', 'violate', 'plunder']","Synset('rape.v.02')","vt","02.06.13.05.05.04","33552","12733.5","rape.v.02","10","5","5","2","1","1","6.85168594964334e-06","-0.923076923076923"
"2272","plunder","rifle","1850","True","-1","steal goods take as spoils","Take/Despoil/prey upon/make a spoil of (something)","['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']","Synset('plunder.v.03')","vt","02.06.13.05.05.04|01","82120.5","12733.5","plunder.v.03","2","4","1","2","0","1","0.0350666602167099","0.546428571428571"
"2273","plush","plushy","1896","True","-1","characterized by extravagance and profusion","Textiles/Textile fabric manufactured in specific way/plush/long/with pile/nap/covered/adorned with","['lavish', 'lucullan', 'lush', 'plush', 'plushy']","Synset('lavish.s.02')","adj","01.08.01.14.01.03|07.01.01.02","10","2163.5","lavish.s.02","2","2","2","1",NA,NA,NA,NA
"2274","point","target","1892","True","-1","intend something to move towards a certain goal","Rail travel/direct/manage a railway engine/specific operations","['target', 'aim', 'place', 'direct', 'point']","Synset('target.v.01')","vt","03.10.04|09.01","379026.5","7787545","target.v.01","6","37","3","20","1","0","0.24655957577897","-0.381818181818182"
"2275","point","head","1884","True","-1","direct the course determine the direction of travelling","Navigate/sail (a stretch of water)/Direct/manage ship/set a ship's course/direct vessel on certain course","['steer', 'maneuver', 'manoeuver', 'manoeuvre', 'direct', 'point', 'head', 'guide', 'channelize', 'channelise']","Synset('steer.v.01')","vt","03.10.05.03|08.01","4463374","7787545","steer.v.01","38","30","21","20","1","0","0.130948069507173","-0.461538461538462"
"2276","pointillist","pointillistic","1922","True","1","of or relating to pointillism","Pertaining to the Arts/Late 19th and 20th centuries/neo-impressionist/pointillist","['pointillist', 'pointillistic']","Synset('pointillist.s.01')","adj","03.13.03.03.03.04|08",NA,"0","pointillist.s.01","1","2","1","1",NA,NA,NA,NA
"2277","polar","diametric","1886","True","-1","characterized by opposite extremes completely opposed","Of/belonging to/characterized by relationship/Contrary/opposed to/opposite/opposed","['diametric', 'diametrical', 'opposite', 'polar']","Synset('diametric.s.02')","adj","01.16.01.05|01","162","72368","diametric.s.02","2","2","1","3",NA,NA,NA,NA
"2278","polish_off","remove","1888","True","-1","kill intentionally and with premeditation","Come by death/Murder/assassinate","['murder', 'slay', 'hit', 'dispatch', 'bump_off', 'off', 'polish_off', 'remove']","Synset('murder.v.01')","vt","01.02.04.04.01.01","585362.5",NA,"murder.v.01","8","2","4","3",NA,NA,NA,NA
"2279","pollyannaish","upbeat","1946","True","1","pleasantly even unrealistically optimistic","Pleasurable/Cheerful/cheerfully optimistic","['cheerful', 'pollyannaish', 'upbeat']","Synset('cheerful.s.02')","adj","02.04.10.09|06","915",NA,"cheerful.s.02","3","1","1","1",NA,NA,NA,NA
"2280","polyvalent","multivalent","1934","True","1","having more than one valence or having a valence of 3 or higher","Healing/curing/Antidotal/polyvalent","['polyvalent', 'multivalent']","Synset('polyvalent.a.02')","adj","01.03.03.05.03.19|02","209","364.5","polyvalent.a.02","2","2","1","2",NA,NA,NA,NA
"2281","pontifical","apostolical","1864","True","-1","proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles","Papal/office","['papal', 'apostolic', 'apostolical', 'pontifical']","Synset('papal.a.01')","adj","03.08.03.05.01.01|01","337","10268.5","papal.a.01","1","2","2","1","0","0","0.622787172011662","0.257142857142857"
"2282","poor","pathetic","1936","True","1","deserving or inciting pity","Inferior/Wretched","['hapless', 'miserable', 'misfortunate', 'pathetic', 'piteous', 'pitiable', 'pitiful', 'poor', 'wretched']","Synset('hapless.s.01')","adj","02.03.03.08","12037","1724773.5","hapless.s.01","1","2","3","2","0","0","0.383316870426973","-0.392857142857143"
"2283","popular","pop","1958","True","1","of music or art new and of general appeal especially among young people","Having/showing esteem/Popular/appealing to popular taste","['popular', 'pop']","Synset('popular.s.04')","adj","02.02.09.04.01.01|02","101152.5","1055652.5","popular.s.04","18","4","4","2","1","0","0.104088038661828","0.8"
"2284","populate","inhabit","1870","True","-1","inhabit or live in be an inhabitant of","Inhabit/dwell","['populate', 'dwell', 'live', 'inhabit']","Synset('populate.v.01')","vi","03.02","23594","1581.5","populate.v.01","1","1","3","2",NA,NA,NA,NA
"2285","pose","set","1882","True","-1","put into a certain place or abstract location","Place/Insert/put in/at intervals in a surface","['put', 'set', 'place', 'pose', 'position', 'lay']","Synset('put.v.01')","vt","01.12.04.05.01|24","5946738","111431","put.v.01","14","8","15","4","1","0","0.13765791634773","-0.454545454545455"
"2286","pose","position","1880","True","-1","put into a certain place or abstract location","Place/Position/situation/ascertain/determine the position of","['put', 'set', 'place', 'pose', 'position', 'lay']","Synset('put.v.01')","vt","01.12.04.01|02","3823037.5","111431","put.v.01","18","8","9","4","0","0","0.33058925941211","0.307692307692308"
"2287","position","set","1882","True","-1","put into a certain place or abstract location","Place/Insert/put in/at intervals in a surface","['put', 'set', 'place', 'pose', 'position', 'lay']","Synset('put.v.01')","vt","01.12.04.05.01|24","5946738","3823037.5","put.v.01","14","18","15","9","0","0","0.0625114832796152","0.552447552447553"
"2288","posterior","ulterior","1884","True","-1","coming at a subsequent time or stage","Of/pertaining to the future/later","['later', 'ulterior', 'posterior']","Synset('later.s.01')","adj","01.13.08.05|05","4522","279201","later.s.01","3","4","3","1","1","0","0.571701238527655","-0.181818181818182"
"2289","pour_forth","shed","1866","True","-1","pour out in drops or small quantities or as if in drops or small quantities","Cause to move in a direction/Let/send out/let out/spill","['spill', 'shed', 'pour_forth']","Synset('spill.v.04')","vt","01.14.05.11.01|01.02","158939.5",NA,"spill.v.04","3","1","2","1",NA,NA,NA,NA
"2290","practicable","viable","1954","True","1","capable of being done with means at hand and circumstances as they are","Easy/presenting little difficulty/feasible","['feasible', 'executable', 'practicable', 'viable', 'workable']","Synset('feasible.s.01')","adj","01.15.12|11","88457","72292.5","feasible.s.01","1","2","2","2","1","0","0.872888571569538","0.1"
"2291","pragmatic","pragmatical","1900","True","1","of or concerning the theory of pragmatism","Advantageous/Expedient/not moral/just/pragmatic/practical","['pragmatic', 'pragmatical']","Synset('pragmatic.a.02')","adj","01.15.14.04.01|02","181","37136","pragmatic.a.02","1","3","1","1",NA,NA,NA,NA
"2292","pragmatic","pragmatical","1900","True","1","concerned with practical matters","Advantageous/Expedient/not moral/just/pragmatic/practical","['matter-of-fact', 'pragmatic', 'pragmatical']","Synset('matter-of-fact.s.02')","adj","01.15.14.04.01|02","181","37136","matter-of-fact.s.02","2","2","1","1",NA,NA,NA,NA
"2293","prance","tittup","1862","True","-1","to walk with a lofty proud gait often in an attempt to impress others","Mammals/Habits and actions of horse/leap/prance","['tittup', 'swagger', 'ruffle', 'prance', 'strut', 'sashay', 'cock']","Synset('tittup.v.01')","vi","01.05.19.06.02.08|01",NA,"1043.5","tittup.v.01","1","2","1","2",NA,NA,NA,NA
"2294","prate","clack","1862","True","-1","speak about unimportant matters rapidly and incessantly","Speak/Be talkative/talk excessively/chatter","['chatter', 'piffle', 'palaver', 'prate', 'tittle-tattle', 'twaddle', 'clack', 'maunder', 'prattle', 'blab', 'gibber', 'tattle', 'blabber', 'gabble']","Synset('chatter.v.04')","vi","02.07.03.09|01","2487.5","636.5","chatter.v.04","5","2","2","1",NA,NA,NA,NA
"2295","prattle","clack","1862","True","-1","speak about unimportant matters rapidly and incessantly","Speak/Be talkative/talk excessively/chatter","['chatter', 'piffle', 'palaver', 'prate', 'tittle-tattle', 'twaddle', 'clack', 'maunder', 'prattle', 'blab', 'gibber', 'tattle', 'blabber', 'gabble']","Synset('chatter.v.04')","vi","02.07.03.09|01","2487.5","760","chatter.v.04","5","2","2","1",NA,NA,NA,NA
"2296","precede","premise","1852","True","-1","furnish with a preface or introduction","Speak/say/utter/introduce","['precede', 'preface', 'premise', 'introduce']","Synset('precede.v.05')","vt","02.07.03|29","88510","20448.5","precede.v.05","3","5","2","5","1","0","0.216028925341955","-0.339285714285714"
"2297","precede","premise","1852","True","-1","furnish with a preface or introduction","The Arts/Write parts of composition/introduce/furnish with prologue/write as prologue/introduction","['precede', 'preface', 'premise', 'introduce']","Synset('precede.v.05')","vt","03.13.03.04.01.01|01.01","88510","20448.5","precede.v.05","3","5","2","5","1","0","0.216028925341955","-0.339285714285714"
"2298","precede","preface","1852","True","-1","furnish with a preface or introduction","Speak/say/utter/Deliver (a speech)/introduce","['precede', 'preface', 'premise', 'introduce']","Synset('precede.v.05')","vt","02.07.03.06|08","161659.5","20448.5","precede.v.05","2","5","1","5","1","1","0.0198464219701811","-0.592857142857143"
"2299","predominant","predominate","1864","True","-1","having superior power and influence","Good/Predominant/preponderant","['overriding', 'paramount', 'predominant', 'predominate', 'preponderant', 'preponderating']","Synset('overriding.s.01')","adj","02.03.01.05","7668","32899","overriding.s.01","3","2","1","2","1","0","0.288169885875457","-0.305494505494505"
"2300","predominant","prevailing","1866","True","-1","most frequent or common","Of/belonging to a kind/sort/General/general/prevalent","['prevailing', 'prevalent', 'predominant', 'dominant', 'rife']","Synset('prevailing.s.01')","adj","01.16.02.01|05","143139","32899","prevailing.s.01","6","1","3","2","1","1","0.00410440916188024","-0.714285714285714"
"2301","preface","premise","1852","True","-1","furnish with a preface or introduction","Speak/say/utter/introduce","['precede', 'preface', 'premise', 'introduce']","Synset('precede.v.05')","vt","02.07.03|29","88510","161659.5","precede.v.05","3","2","2","1","1","0","0.0619510067141685","-0.492857142857143"
"2302","preface","premise","1852","True","-1","furnish with a preface or introduction","The Arts/Write parts of composition/introduce/furnish with prologue/write as prologue/introduction","['precede', 'preface', 'premise', 'introduce']","Synset('precede.v.05')","vt","03.13.03.04.01.01|01.01","88510","161659.5","precede.v.05","3","2","2","1","1","0","0.0619510067141685","-0.492857142857143"
"2303","prefatorial","prefatory","1860","True","-1","serving as an introduction or preface","Ready to undertake/Preparatory/preliminary/introductory","['introductory', 'prefatorial', 'prefatory']","Synset('introductory.s.03')","adj","01.15.03.01|01","1094.5",NA,"introductory.s.03","1","1","1","1",NA,NA,NA,NA
"2304","prematurely","untimely","1856","True","-1","too soon in a premature manner","At an opportune time/seasonably/Unseasonably/out of season/early/too early/prematurely","['prematurely', 'untimely']","Synset('prematurely.r.02')","adv","01.13.09.02|02","11327","6762.5","prematurely.r.02","3","2","1","2","1","0","0.751672517350277","-0.0892857142857143"
"2305","premise","preface","1852","True","-1","furnish with a preface or introduction","Speak/say/utter/Deliver (a speech)/introduce","['precede', 'preface', 'premise', 'introduce']","Synset('precede.v.05')","vt","02.07.03.06|08","161659.5","88510","precede.v.05","2","3","1","2","1","0","0.0619510067141685","-0.492857142857143"
"2306","prepare","organize","1952","True","1","arrange by systematic planning and united effort","Undertake/Prepare/make preparations for (an event, etc.)","['organize', 'organise', 'prepare', 'devise', 'get_up', 'machinate']","Synset('organize.v.05')","vt","01.15.03.01|11","160307.5","468281","organize.v.05","5","4","6","8","0","0","0.623837664781073","-0.3"
"2307","prepared","fain","1850","True","-1","having made preparations","Inclined/disposed/favourably","['disposed', 'fain', 'inclined', 'prepared']","Synset('disposed.s.01')","adj","02.05.03|01","9303","1122194","disposed.s.01","1","10","1","3","1","0","0.23180969720616","-0.328571428571429"
"2308","preponderant","predominate","1864","True","-1","having superior power and influence","Good/Predominant/preponderant","['overriding', 'paramount', 'predominant', 'predominate', 'preponderant', 'preponderating']","Synset('overriding.s.01')","adj","02.03.01.05","7668","1046.5","overriding.s.01","3","1","1","1","1","0","0.819150855569991","-0.107142857142857"
"2309","preponderating","predominate","1864","True","-1","having superior power and influence","Good/Predominant/preponderant","['overriding', 'paramount', 'predominant', 'predominate', 'preponderant', 'preponderating']","Synset('overriding.s.01')","adj","02.03.01.05","7668","313.5","overriding.s.01","3","2","1","1",NA,NA,NA,NA
"2310","preposterous","derisory","1922","True","1","incongruous inviting ridicule","Low (of esteem)/Derided/ridiculed/mocked/ridiculous","['absurd', 'cockeyed', 'derisory', 'idiotic', 'laughable', 'ludicrous', 'nonsensical', 'preposterous', 'ridiculous']","Synset('absurd.s.02')","adj","02.02.10.02.01|01","43.5","5954","absurd.s.02","1","1","1","1",NA,NA,NA,NA
"2311","present","show","1912","True","1","give an exhibition of to an interested audience","Be manifest/Exhibit","['show', 'demo', 'exhibit', 'present', 'demonstrate']","Synset('show.v.01')","vi","03.09.02.04.01.01","3133318.5","5070896","show.v.01","5","4","8","6","1","0","0.545698778218273","0.233333333333333"
"2312","preserve","conserve","1864","True","-1","keep in safety and protect from harm decay loss or destruction","Make safe/secure/Preserve from injury/destruction/preserve in existence/maintain/institutions/conditions","['conserve', 'preserve', 'maintain', 'keep_up']","Synset('conserve.v.02')","vt","01.15.15.01.01|10.03","21776","320461","conserve.v.02","3","5","2","4","0","1","0.0153173290532817","0.678321678321678"
"2313","press","iron","1946","True","-1","press and smooth with a heated iron","Wash clothes/iron/press/undergo ironing","['iron', 'iron_out', 'press']","Synset('iron.v.01')","vi","01.09.10.01.01.02|07.01","625801","11679806","iron.v.01","5","21","2","11","1","0","0.396501457725947","-0.428571428571429"
"2314","press","iron","1942","True","1","press and smooth with a heated iron","Wash clothes/iron/press/undergo ironing","['iron', 'iron_out', 'press']","Synset('iron.v.01')","vi","01.09.10.01.01.02|07.01","625801","11679806","iron.v.01","5","21","2","11","0","0","0.396501457725947","-0.428571428571429"
"2315","pressure","coerce","1864","True","-1","to cause to do through pressure or necessity by physical moral or intellectual means She forced him to take a job in the city","Be subject to/Compel/produce/obtain by compulsion/force","['coerce', 'hale', 'squeeze', 'pressure', 'force']","Synset('coerce.v.01')","vt","03.04.09.04.03|08","9497.5","2004866.5","coerce.v.01","1","8","1","4","0","0","0.502750091296957","0.195604395604396"
"2316","presumptuous","assuming","1862","True","-1","excessively forward","Proud/Presumptuous","['assumptive', 'assuming', 'presumptuous']","Synset('assumptive.s.01')","adj","02.04.19.06","228211","8091","assumptive.s.01","10","1","5","1","1","0","0.542596952606215","-0.178021978021978"
"2317","prevail","predominate","1858","True","-1","be larger in number quantity power status or importance","Have specific position/arrangement/Be in high position/be above/dominate","['predominate', 'dominate', 'rule', 'reign', 'prevail']","Synset('predominate.v.01')","vi","01.12.05.07|01.01","7668","70711","predominate.v.01","1","1","1","5","1","0","0.221211537639326","-0.335714285714286"
"2318","prevalent","prevailing","1866","True","-1","most frequent or common","Of/belonging to a kind/sort/General/general/prevalent","['prevailing', 'prevalent', 'predominant', 'dominant', 'rife']","Synset('prevailing.s.01')","adj","01.16.02.01|05","143139","83573.5","prevailing.s.01","6","1","3","1","1","1","6.84637760564604e-05","-0.863736263736264"
"2319","pricy","pricey","1932","True","1","having a high price","Of monetary value/High (of price/rate)/dear/expensive","['costly', 'dear', 'high-priced', 'pricey', 'pricy']","Synset('costly.s.02')","adj","03.12.16.01.03|04","425.5",NA,"costly.s.02","1","1","1","1",NA,NA,NA,NA
"2320","primal","key","1916","True","1","serving as an essential component","Important/essential/central","['cardinal', 'central', 'fundamental', 'key', 'primal']","Synset('cardinal.s.01')","adj","02.02.08|11","1351322.5","11830","cardinal.s.01","21","1","7","2","1","1","0.0424422720870724","0.683333333333333"
"2321","primitive","rude","1882","True","-1","belonging to an early stage of technical development characterized by simplicity and often crudeness","Inferior/Imperfect/rough/rude/crude/undeveloped/in specific way: defective/faulty/roughly accurate","['crude', 'primitive', 'rude']","Synset('crude.s.04')","adj","02.03.03.03|02.05.01.02","47578","154800","crude.s.04","5","4","2","3","1","1","0.0022231354099909","-0.79020979020979"
